reference, idName,companyName,personName,addressLine,city,stateProvince,postal,country,phone,email,weburl,socialUrl,returnType,id,entityId
265821097,,BICYCLE CRAFT BREWERY INC,,,Ottawa,ON,,,,,,,site:linkedin.com,,
225751370,,PRIMO FOODS CO,,,North York,ON,,,,,,,site:linkedin.com,,
4466691,,CERBUCO BREWING INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
266065677,,MATRON BREWING COMPANY,,,Bloomfield,ON,,,,,,,site:linkedin.com,,
226246507,,DELMARE QUALITY FOODS INC.,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
27046069,,Sweet Temptations Bakery,,,Guelph,ON,,,,,,,site:linkedin.com,,
194760681,,JANES FAMILY FOODS LTD.,,,North York,ON,,,,,,,site:linkedin.com,,
17426845,,NESTLE PURINA PET CARE,,,Mississauga,ON,,,,,,,site:linkedin.com,,
207887309,,CHUDLEIGHS APPLE FARM LTD.,,,Milton,ON,,,,,,,site:linkedin.com,,
24490252,,2415228 ONTARIO INC,,,Toronto,ON,,,,,,,site:linkedin.com,,
266166184,,HENRY COMPANY CANADA INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
227203606,,MAPLE LEAF FOODS,,,Hannon,ON,,,,,,,site:linkedin.com,,
196311861,,ADM ANIMAL NUTRITION,,,Quincy,IL,,,,,,,site:linkedin.com,,
32760974,,COOKIE JAR GROUP,,,Toronto,ON,,,,,,,site:linkedin.com,,
24510200,,1544194 ONTARIO INC,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
312250733,,Smile Aesthetics Yorkville Prosthodontics,,,Toronto,ON,,,,,,,site:linkedin.com,,
7178497,,NATURE VARIETY FOODS,,,York,ON,,,,,,,site:linkedin.com,,
27557235,,Signal Brewery,,,Belleville,ON,,,,,,,site:linkedin.com,,
2626840,,ASTRO DAIRY HOLDINGS INC.,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
9601231,,THE SEAGRAM COMPANY LTD.,,,WATERLOO,ON,,,,,,,site:linkedin.com,,
17753628,,BORDEN FOODS CANADA,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
228435691,,NORTHWAY TEXTILE INC,,,Oakville,ON,,,,,,,site:linkedin.com,,
192415419,,CINNABON,,,Hamilton,ON,,,,,,,site:linkedin.com,,
1815923,,4116381 CANADA INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
24489902,,1717448 ONTARIO LTD,,,Toronto,ON,,,,,,,site:linkedin.com,,
7094164,,MISOM HALAL FOOD PRODUCTS CO,,,East York,ON,,,,,,,site:linkedin.com,,
7194797,,MARITIME FOOD PRODUCTS,,,Toronto,ON,,,,,,,site:linkedin.com,,
194637455,,CAMPBELL SOUP CO. LTD.,,,Toronto,ON,,,,,,,site:linkedin.com,,
266631763,,CONESTOGA RIVER POTTERY,,,St Jacobs,ON,,,,,,,site:linkedin.com,,
9593140,,177833 CANADA INC.,,,North York,ON,,,,,,,site:linkedin.com,,
194745742,,DELMARE QUALITY FOODS INC,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
6887499,,INTERNATIONAL WINES & SPIRITS LTD.,,,Waterloo,ON,,,,,,,site:linkedin.com,,
9706154,,SOCIETE DE VIANDES QUALICO CENTRALE MONTREAL LTEE,,,Stoney Creek,ON,,,,,,,site:linkedin.com,,
206495340,,GROBER NUTRITION INC.,,,Cambridge,ON,,,,,,,site:linkedin.com,,
194706001,,LASSONDE JUICES INC,,,Ruthven,ON,,,,,,,site:linkedin.com,,
10461962,,GraceKennedy (Ontario) Inc.,,,Toronto,ON,,,,,,,site:linkedin.com,,
290916,,THE PLANT FOODS COUNCIL (PFC),,,Old Toronto,ON,,,,,,,site:linkedin.com,,
17391295,,HALENDA'S MEATS,,,Whitby,ON,,,,,,,site:linkedin.com,,
194087041,,FLOWER POT PRODUCTIONS,,,Kemptville,ON,,,,,,,site:linkedin.com,,
266838500,,CORREIA WINDOWS & DOORS,,,Toronto,ON,,,,,,,site:linkedin.com,,
225169396,,CANADA PACKERS (FRESHMEAT),,,Toronto,ON,,,,,,,site:linkedin.com,,
17278065,,AXION HEALTH CARE INC.,,,Concord,ON,,,,,,,site:linkedin.com,,
9639184,,148687 CANADA INC.,,,Montreal,QC,,,,,,,site:linkedin.com,,
228054626,,KUEPFER TIMOTHY,,,North York,ON,,,,,,,site:linkedin.com,,
182265537,,CONSEIL DE RECHERCHES MÉDICALES DU CANADA,,,Ottawa,ON,,,,,,,site:linkedin.com,,
584361,,8432414 CANADA INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
17422585,,ORLEANS BAKERY,,,Orleans,ON,,,,,,,site:linkedin.com,,
46964051,,PRIMO FOODS INC,,,Weston,ON,,,,,,,site:linkedin.com,,
10199582,,The Cool Hemp Company (2013) Incorporated,,,Lancaster Ontario,ON,,,,,,,site:linkedin.com,,
10111318,,AMBE SHAKTI FOODS INC.,,,Oakville,ON,,,,,,,site:linkedin.com,,
6679249,,SUNFRESH FOODS LIMITED,,,Toronto,ON,,,,,,,site:linkedin.com,,
194363219,,CERTIFIED LAB PRODUCTS,,,Brampton,ON,,,,,,,site:linkedin.com,,
9558390,,CANADIAN FROZEN FOOD ASSOCIATION,,,Ottawa,ON,,,,,,,site:linkedin.com,,
203851878,,HYPROCA NUTRITION CANADA INC,,,Mississauga,ON,,,,,,,site:linkedin.com,,
177315290,,BLAZING BUDDHA INC.,,,Oakville,ON,,,,,,,site:linkedin.com,,
9532889,,MORGAN MARITIMES RUMS LTD.,,,Waterloo,ON,,,,,,,site:linkedin.com,,
13349245,,6529526 CANADA INC.,,,Vankleek Hill,ON,,,,,,,site:linkedin.com,,
227223684,,ORFANAKOS FOODS LTD,,,Toronto,ON,,,,,,,site:linkedin.com,,
17445977,,CHATEAU DES CHARMES WINES,,,Oakville,ON,,,,,,,site:linkedin.com,,
197147552,,NATURES WINDOW,,,Ottawa,ON,,,,,,,site:linkedin.com,,
194397079,,POLYWHEELS MANUFACTURING LTD,,,Oakville,ON,,,,,,,site:linkedin.com,,
265177777,,ALIF LINEN INC.,,,Mississauga,ON,,,,,,,site:linkedin.com,,
192997218,,BIRCHWOOD ESTATE WINES,,,Beamsville,ON,,,,,,,site:linkedin.com,,
44504203,,10786250 Canada Inc.,,,Picton,ON,,,,,,,site:linkedin.com,,
7122096,,JONAVI INVESTMENTS LTD.,,,North York,ON,,,,,,,site:linkedin.com,,
7198633,,KAM LI COMPANY,,,Toronto,ON,,,,,,,site:linkedin.com,,
202840718,,GRT GENESIS INC,,,Hamilton,ON,,,,,,,site:linkedin.com,,
9636612,,"THE MAKEUP LAB, INC.",,,Mississauga,ON,,,,,,,site:linkedin.com,,
7174947,,AL FRANCO'S BAKERY CAFE,,,Toronto,ON,,,,,,,site:linkedin.com,,
44732025,,2201139 ONTARIO INC,,,Dundas,ON,,,,,,,site:linkedin.com,,
265298873,,LIDO WINDOWS AND DOORS LTD.,,,Concord,ON,,,,,,,site:linkedin.com,,
203918276,,MAN HING INTERNATIONAL TRADING CO,,,Scarborough,ON,,,,,,,site:linkedin.com,,
24572286,,1121389 ONTARIO INC,,,North York,ON,,,,,,,site:linkedin.com,,
7271814,,CHATIME SCARBOROUGH,,,Toronto,ON,,,,,,,site:linkedin.com,,
201158303,,2558768 ONTARIO LTD,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
17654625,,PET VALU DISCOUNT PET FOODS,,,Oakville,ON,,,,,,,site:linkedin.com,,
194672606,,NEUSTADT SPRINGS BREWERY,,,Neustadt,ON,,,,,,,site:linkedin.com,,
337241671,,175537 CANADA LTD.,,,Toronto,ON,,,,,,,site:linkedin.com,,
24544716,,1768504 ONTARIO INC,,,North York,ON,,,,,,,site:linkedin.com,,
194564027,,DAITER'S CREAMERY & APPETIZERS,,,Toronto,ON,,,,,,,site:linkedin.com,,
207018596,,JOHNSONITE CANADA INC.,,,Waterloo,ON,,,,,,,site:linkedin.com,,
362589610,,"d'Angelo Brands, Inc.",,,Mississauga,ON,,,,,,,site:linkedin.com,,
1330726,,Green Select Inc.,,,Mississauga,ON,,,,,,,site:linkedin.com,,
143356,,8796386 Canada Inc.,,,Markham,ON,,,,,,,site:linkedin.com,,
579149114,,Broken Stone Winery Ltd,,,North York,ON,,,,,,,site:linkedin.com,,
17426987,,AMSTEL BREWERY CANADA LTD.,,,Hamilton,ON,,,,,,,site:linkedin.com,,
201639207,,BENEVITO FOODS INC,,,Toronto,ON,,,,,,,site:linkedin.com,,
26020744,,9603603 Canada Inc.,,,Toronto,ON,,,,,,,site:linkedin.com,,
224931968,,CANADIAN BREWERIES INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
1340316,,The Niagara Falls Cookie Company Inc.,,,Niagara Falls,ON,,,,,,,site:linkedin.com,,
17343427,,ESTEE LAUDER,,,Toronto,ON,,,,,,,site:linkedin.com,,
9672794,,EXPLOIFINCAN INC.,,,Montreal,QC,,,,,,,site:linkedin.com,,
9463997,,SUMAC RIDGE ESTATE WINERY LTD.,,,Niagara Falls,ON,,,,,,,site:linkedin.com,,
26342806,,SC Johnson Canada Ltd,,,Brantford,ON,,,,,,,site:linkedin.com,,
207101063,,KRAFT FOODS,,,Toronto,ON,,,,,,,site:linkedin.com,,
207100720,,THE INVENTORY EXCHANGE,,,Toronto,ON,,,,,,,site:linkedin.com,,
3279289,,Safe Beef Institute Inc.,,,Vankleek Hill,ON,,,,,,,site:linkedin.com,,
45682076,,SANTA MARIA FOODS ULC,,,Brampton,ON,,,,,,,site:linkedin.com,,
24588847,,957065 ONTARIO LTD,,,North York,ON,,,,,,,site:linkedin.com,,
205693,,NORSE BREWERY INC.,,,Rosseau,ON,,,,,,,site:linkedin.com,,
266065589,,MILL ST BREWERY SCARBOROUGH PLANT,,,North York,ON,,,,,,,site:linkedin.com,,
196295581,,NOMA AUTOMOTIVE,,,Mississauga,ON,,,,,,,site:linkedin.com,,
200523159,,MARIPOSA DAIRY,,,Oakwood,ON,,,,,,,site:linkedin.com,,
7132795,,SURF CITY SQUEEZE,,,North York,ON,,,,,,,site:linkedin.com,,
204098593,,KD CANNERS,,,Mississauga,ON,,,,,,,site:linkedin.com,,
194506639,,JEMPAK INC.,,,Concord,ON,,,,,,,site:linkedin.com,,
7147103,,BIG ROCK BREWERY & FOOD RESORT (EAST),,,Toronto,ON,,,,,,,site:linkedin.com,,
194196789,,ALFA PLASTICS,,,Brampton,ON,,,,,,,site:linkedin.com,,
1330587,,SOJU HANA INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
197320363,,COCA-COLA BOTTLING LTD,,,Kingston,ON,,,,,,,site:linkedin.com,,
46542941,,Matron Brewing Inc.,,,Bloomfield,ON,,,,,,,site:linkedin.com,,
194449409,,JIANO FOODS,,,Scarborough,ON,,,,,,,site:linkedin.com,,
194345858,,LA CACHETTE,,,Niagara-on-the-lake,ON,,,,,,,site:linkedin.com,,
7205759,,LAGROTTA DEL FORMAGGIO,,,North York,ON,,,,,,,site:linkedin.com,,
260449576,,Norse Brewery Inc,,,Nobel,ON,,,,,,,site:linkedin.com,,
24542278,,1314798 ONTARIO LTD,,,North York,ON,,,,,,,site:linkedin.com,,
31753181,,COUVRE PLANCHERS PACKER INC.,,,Rexdale,ON,,,,,,,site:linkedin.com,,
194164905,,SAUSAGE KITCHEN INC,,,Ottawa,ON,,,,,,,site:linkedin.com,,
17701566,,PEPSI BOTTLING GROUP,,,Fraserville,ON,,,,,,,site:linkedin.com,,
266126405,,THE BUTCHER SHOP,,,Timmins,ON,,,,,,,site:linkedin.com,,
312405171,,CollegeStreetDental.ca,,,Toronto,ON,,,,,,,site:linkedin.com,,
1391621,,A & M GOURMET FOODS INC.,,,King City,ON,,,,,,,site:linkedin.com,,
808383,,7998724 CANADA INC.,,,Kitchener,ON,,,,,,,site:linkedin.com,,
17686760,,ROESCH MEATS & MORE,,,Kent Bridge,ON,,,,,,,site:linkedin.com,,
202270696,,ELITE SWEETS,,,Brampton,ON,,,,,,,site:linkedin.com,,
44551832,,1220530 ONTARIO LTD,,,East York,ON,,,,,,,site:linkedin.com,,
22889321,,BLACK OAK BREWERY,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
17685330,,EUROPEAN QUALITY MEATS,,,Etobicoke,ON,,,,,,,site:linkedin.com,,
26350837,,Lucullus Bakers & Roasters,,,Markham,ON,,,,,,,site:linkedin.com,,
198475166,,ACAN WINDOW SYSTEMS INC,,,Brampton,ON,,,,,,,site:linkedin.com,,
352834909,,Associated Brands,,,Toronto,ON,,,,,,,site:linkedin.com,,
197277553,,LABATT BREWING CO. LTD.,,,London,ON,,,,,,,site:linkedin.com,,
6745789,,CORBY DISTILLERIES LIMITED,,,Scarborough,ON,,,,,,,site:linkedin.com,,
17264365,,CONSOLTEX INC,,,Alexandria,ON,,,,,,,site:linkedin.com,,
267168992,,DE SOUSA,,,Toronto,ON,,,,,,,site:linkedin.com,,
24536548,,1398091 ONTARIO INC,,,North York,ON,,,,,,,site:linkedin.com,,
204223151,,HUMPTY DUMPTY SNACK FOODS,,,Kitchener,ON,,,,,,,site:linkedin.com,,
267864021,,GDS INC,,,Toronto,ON,,,,,,,site:linkedin.com,,
225842754,,MAPLE LEAF CONS FOODS INC,,,Kitchener,ON,,,,,,,site:linkedin.com,,
17528062,,ROTHSAY,,,Dundas,ON,,,,,,,site:linkedin.com,,
267284789,,DONWAY PACKAGING CORPORATION LTD,,,Toronto,ON,,,,,,,site:linkedin.com,,
261475719,,IPRO REALTY LTD,,,Mississauga,ON,,,,,,,site:linkedin.com,,
194258936,,GOLDEN MILL BAKERY,,,Hamilton,ON,,,,,,,site:linkedin.com,,
17685139,,ANNETTE'S DONUTS LTD,,,York,ON,,,,,,,site:linkedin.com,,
26385968,,Big Rig Kitchen and Brewery,,,Gloucester,ON,,,,,,,site:linkedin.com,,
264510889,,1379817 ONTARIO LTD,,,Downsview,ON,,,,,,,site:linkedin.com,,
17703406,,MARATHON PITA LTD.,,,Oakville,ON,,,,,,,site:linkedin.com,,
162245,,Cartwright Springs Brewery Incorporated,,,Nepean,ON,,,,,,,site:linkedin.com,,
31671479,,LA COMPAGNIE OMNITRADE INDUSTRIELLE LTÉE,,,Toronto,ON,,,,,,,site:linkedin.com,,
26545808,,Sawdust City Brewery,,,Gravenhurst,ON,,,,,,,site:linkedin.com,,
194676723,,QUALITY CHEMICAL MFG.,,,North York,ON,,,,,,,site:linkedin.com,,
24636790,,1363581 ONTARIO INC,,,Markham,ON,,,,,,,site:linkedin.com,,
7172934,,CROSSROADS ICE CREAM & TREATS,,,North York,ON,,,,,,,site:linkedin.com,,
268075340,,PETER HARRISON,,,Cobourg,ON,,,,,,,site:linkedin.com,,
206739049,,RAINBOW EXCELSIOR,,,Scarborough,ON,,,,,,,site:linkedin.com,,
24575911,,1486385 ONTARIO INC,,,North York,ON,,,,,,,site:linkedin.com,,
7187004,,HO GA ORIENTAL EXPRESS,,,Toronto,ON,,,,,,,site:linkedin.com,,
9558664,,177137 CANADA INC.,,,Stittsville,ON,,,,,,,site:linkedin.com,,
205008601,,IRYEWON ASIA FUSION RESTAURANT,,,Thornhill,ON,,,,,,,site:linkedin.com,,
17753676,,CANGRO FOODS INC.,,,Toronto,ON,,,,,,,site:linkedin.com,,
